seed,greedy_iterations,fixed_iterations,dynamic_iterations,greedy_distance,fixed_distance,dynamic_distance,greedy_unused,fixed_unused,dynamic_unused
0,7,7,7,290.1008962123574,284.37468591575475,283.8732238546567,10,9,9
1,4,5,5,166.98389134594825,196.80553086415244,194.71229094417092,8,8,7
2,5,7,7,203.42925492294344,274.57196368239846,272.22267343409163,8,7,7
3,4,4,4,165.59437461363655,159.36369859227682,158.25192553433732,7,7,7
4,8,9,9,329.2284905809847,366.1005389152005,364.8976826779669,6,8,7
5,4,4,4,163.11419736611117,157.1489877896387,156.8559408195631,6,6,6
6,6,7,7,244.62821163003892,287.45580773957954,286.1495841298985,8,7,7
7,6,7,7,248.4199202384807,286.3110197074741,285.1702521126763,8,6,6
8,8,9,11,332.85697054340966,366.55568578774006,446.1489053150356,7,7,6
9,5,8,8,204.26654629258837,323.2608470700009,323.71038044865355,8,7,7
10,8,9,9,334.3857838315289,372.6243210655939,370.928456953019,9,8,8
11,7,8,8,288.447176109879,317.33730316008626,314.3135080693905,7,6,7
12,4,5,5,165.9806716034383,198.18878264629703,196.58691570601252,8,7,7
13,8,10,10,324.62849534455285,406.59731277740906,405.03126875735165,8,8,7
14,4,5,5,162.41919907343225,193.03933360314036,194.30328478140035,7,7,7
15,13,13,13,535.7784751114075,538.3334627512215,537.33298458321,7,8,8
16,4,5,5,161.17003487179375,202.0111629919605,200.69828196813276,8,7,7
17,3,5,5,125.08268165365963,195.35112476770735,192.8105404215129,8,7,7
18,9,9,9,376.754949577717,366.5754193629455,364.0484162562505,8,9,9
19,6,8,8,247.62964763596776,327.1562572535327,326.2379990097172,10,8,8
20,9,9,9,373.7810619471097,366.4254026187141,364.3078855285155,8,7,7
21,5,6,6,202.54428071400145,238.46046000524672,238.0341316857883,8,8,8
22,5,5,5,204.44015033711247,196.8165637056321,193.66361432165888,8,6,7
23,11,11,11,455.7321748313453,445.328571732097,442.6360365107489,9,7,7
24,7,9,9,289.51317017214615,369.1812576067858,366.68133884695385,9,8,8
25,8,7,7,329.64860160412974,284.8427768078819,283.0625101520472,8,6,6
26,4,4,4,163.70645336885775,158.36541237764047,157.25703931880042,7,7,7
27,4,6,5,163.54138331092338,239.68784015073007,199.26548188707503,6,6,6
28,5,6,6,202.14285398453111,235.6934718925956,233.91779533190876,7,7,7
29,6,7,7,250.1930329409168,286.62856037530554,284.54478170214657,7,8,8
30,4,4,4,165.51291751016336,162.993067321157,159.3338239059735,8,7,7
31,5,5,5,203.05887121420656,197.21665714285248,197.11290784768877,9,8,8
32,6,7,7,246.771036494346,283.41236807086545,281.0109783230216,7,8,8
33,6,7,7,247.4352589785985,283.0737324075294,281.272957097224,9,8,8
34,4,5,5,163.02831644710054,197.3669229098585,198.48889245855625,6,5,7
35,5,6,6,202.936414474491,243.65483378638157,242.0791336740748,6,5,5
36,8,8,8,326.9375029987332,319.3670026938691,317.36698797839495,7,7,7
37,4,4,4,162.99971551528287,161.00811178621285,160.06071960949245,8,8,8
38,4,5,5,162.0877188063079,197.2038645300744,195.1270273609379,7,7,7
39,6,7,7,244.88835301647785,283.388953211013,281.6572040720654,7,8,8
40,3,3,3,121.70046336797012,120.18952396297126,118.98250887531378,8,8,8
41,3,3,4,123.8195926486204,122.47294346935196,163.35502751657663,7,6,6
42,4,5,5,163.0411149681681,200.53659117898263,199.3212245662478,7,6,6
43,3,3,3,122.75361834618666,120.82076015989752,119.60371367697569,8,9,9
44,4,6,6,159.09710491660624,229.826979646522,227.86492612776192,7,7,6
45,8,9,9,333.6009558893948,371.1933272085957,370.5860937765938,6,6,6
46,4,6,7,161.48537008992628,235.63308389534384,273.1687084542756,9,8,9
47,5,7,10,204.7680839376901,283.3930713099349,404.4227539763781,8,8,8
48,8,8,8,333.78078815960646,326.8648957302326,325.1325327445017,8,7,7
49,5,6,6,206.8369583027536,240.87393850226363,239.5839114706692,7,8,8
