obstacle_density,baseline,metric,baseline_mean,hungarian_mean,mean_baseline_minus_hungarian,percent_reduction,wilcoxon_W,p_value,paired_effect_dz,hungarian_wins,ties,hungarian_losses,holm_adjusted_p
0.0,manhattan_greedy,iterations,29.666666666666668,20.966666666666665,8.7,29.325842696629223,4.5,9.138435459822989e-06,1.2574090730118828,25,3,2,5.4564528467163775e-05
0.0,manhattan_greedy,total_distance,430.3,170.73333333333332,259.56666666666666,60.32225579053375,0.0,1.7333066441991056e-06,2.7063046523579297,30,0,0,5.4564528467163775e-05
0.0,manhattan_greedy,blocked_moves,14.7,0.36666666666666664,14.333333333333334,97.50566893424036,0.0,1.7213435893906393e-06,1.023209647081507,30,0,0,5.4564528467163775e-05
0.0,manhattan_greedy,redundant_target_ratio,0.699911864018628,0.0,0.699911864018628,100.0,0.0,1.862645149230957e-09,9.41368672732909,30,0,0,7.450580596923828e-08
0.0,path_cost_greedy,iterations,29.666666666666668,20.966666666666665,8.7,29.325842696629223,4.5,9.138435459822989e-06,1.2574090730118828,25,3,2,5.4564528467163775e-05
0.0,path_cost_greedy,total_distance,430.3,170.73333333333332,259.56666666666666,60.32225579053375,0.0,1.7333066441991056e-06,2.7063046523579297,30,0,0,5.4564528467163775e-05
0.0,path_cost_greedy,blocked_moves,14.7,0.36666666666666664,14.333333333333334,97.50566893424036,0.0,1.7213435893906393e-06,1.023209647081507,30,0,0,5.4564528467163775e-05
0.0,path_cost_greedy,redundant_target_ratio,0.699911864018628,0.0,0.699911864018628,100.0,0.0,1.862645149230957e-09,9.41368672732909,30,0,0,7.450580596923828e-08
0.05,manhattan_greedy,iterations,30.133333333333333,21.366666666666667,8.766666666666667,29.0929203539823,13.0,2.2904585295979583e-05,1.0348066124678865,25,3,2,5.4564528467163775e-05
0.05,manhattan_greedy,total_distance,439.8,169.2,270.6,61.52796725784447,0.0,1.862645149230957e-09,1.9520684859962019,30,0,0,7.450580596923828e-08
0.05,manhattan_greedy,blocked_moves,12.2,0.3,11.9,97.54098360655738,0.0,1.7137666960733877e-06,1.3495891494821213,30,0,0,5.4564528467163775e-05
0.05,manhattan_greedy,redundant_target_ratio,0.6917418972658192,0.0,0.6917418972658192,100.0,0.0,1.862645149230957e-09,9.053089927935787,30,0,0,7.450580596923828e-08
0.05,path_cost_greedy,iterations,30.5,21.366666666666667,9.133333333333333,29.94535519125683,12.0,3.206624789809098e-05,0.9881534632441498,24,4,2,5.4564528467163775e-05
0.05,path_cost_greedy,total_distance,443.76666666666665,169.2,274.56666666666666,61.8718545782318,0.0,1.732216233144114e-06,1.8941156878880498,30,0,0,5.4564528467163775e-05
0.05,path_cost_greedy,blocked_moves,13.733333333333333,0.3,13.433333333333334,97.81553398058252,0.0,1.705141514598868e-06,0.9009311552433173,30,0,0,5.4564528467163775e-05
0.05,path_cost_greedy,redundant_target_ratio,0.6960311640643652,0.0,0.6960311640643652,100.0,0.0,1.862645149230957e-09,9.113399121644443,30,0,0,7.450580596923828e-08
0.1,manhattan_greedy,iterations,30.9,21.9,9.0,29.126213592233015,0.0,2.5219363938825784e-06,1.440516691754252,29,1,0,5.4564528467163775e-05
0.1,manhattan_greedy,total_distance,447.46666666666664,180.73333333333332,266.73333333333335,59.60965435041717,0.0,1.7333066441991056e-06,2.5595594994303212,30,0,0,5.4564528467163775e-05
0.1,manhattan_greedy,blocked_moves,16.033333333333335,0.5,15.533333333333333,96.88149688149689,0.0,1.7105279932400777e-06,1.2701224305133059,30,0,0,5.4564528467163775e-05
0.1,manhattan_greedy,redundant_target_ratio,0.6980136417154192,0.0,0.6980136417154192,100.0,0.0,1.7333066441991056e-06,10.030763499060033,30,0,0,5.4564528467163775e-05
0.1,path_cost_greedy,iterations,30.466666666666665,21.9,8.566666666666666,28.118161925601754,0.0,2.5168318046264274e-06,1.4420995259877856,29,1,0,5.4564528467163775e-05
0.1,path_cost_greedy,total_distance,442.76666666666665,180.73333333333332,262.03333333333336,59.18090792742603,0.0,1.7300371292901245e-06,2.642268810752861,30,0,0,5.4564528467163775e-05
0.1,path_cost_greedy,blocked_moves,14.233333333333333,0.5,13.733333333333333,96.4871194379391,0.0,1.7105279932400777e-06,1.4057315025324475,30,0,0,5.4564528467163775e-05
0.1,path_cost_greedy,redundant_target_ratio,0.7026565585730318,0.0,0.7026565585730318,100.0,0.0,1.7289484360195754e-06,11.18471142494077,30,0,0,5.4564528467163775e-05
0.15,manhattan_greedy,iterations,32.56666666666667,22.6,9.966666666666667,30.60388945752303,0.0,3.708217159244436e-06,1.5875673189884518,28,2,0,5.4564528467163775e-05
0.15,manhattan_greedy,total_distance,472.4,182.7,289.7,61.32514817950889,0.0,1.732216233144114e-06,2.862597427858322,30,0,0,5.4564528467163775e-05
0.15,manhattan_greedy,blocked_moves,16.1,0.26666666666666666,15.833333333333334,98.34368530020703,0.0,1.7235135468062213e-06,1.2092010482348399,30,0,0,5.4564528467163775e-05
0.15,manhattan_greedy,redundant_target_ratio,0.7019836198084963,0.0,0.7019836198084963,100.0,0.0,1.7333066441991056e-06,9.807883517295652,30,0,0,5.4564528467163775e-05
0.15,path_cost_greedy,iterations,33.233333333333334,22.6,10.633333333333333,31.99598796389167,0.0,3.7324850192338885e-06,1.5567715233334969,28,2,0,5.4564528467163775e-05
0.15,path_cost_greedy,total_distance,480.8666666666667,182.7,298.1666666666667,62.006100097047,0.0,1.7311263949197288e-06,2.845816627661127,30,0,0,5.4564528467163775e-05
0.15,path_cost_greedy,blocked_moves,17.633333333333333,0.26666666666666666,17.366666666666667,98.48771266540643,0.0,1.711606992411454e-06,1.294811167953953,30,0,0,5.4564528467163775e-05
0.15,path_cost_greedy,redundant_target_ratio,0.7110762823846299,0.0,0.7110762823846299,100.0,0.0,1.7333066441991056e-06,11.093848866786375,30,0,0,5.4564528467163775e-05
0.2,manhattan_greedy,iterations,34.06666666666667,23.433333333333334,10.633333333333333,31.21330724070451,1.0,2.7998179191685326e-06,1.4800022046568675,28,1,1,5.4564528467163775e-05
0.2,manhattan_greedy,total_distance,490.1,196.76666666666668,293.3333333333333,59.8517309392641,0.0,1.732216233144114e-06,2.798769079484369,30,0,0,5.4564528467163775e-05
0.2,manhattan_greedy,blocked_moves,20.9,0.6666666666666666,20.233333333333334,96.81020733652312,0.0,1.7245993818153558e-06,1.685835274616564,30,0,0,5.4564528467163775e-05
0.2,manhattan_greedy,redundant_target_ratio,0.7022226990045769,0.0,0.7022226990045769,100.0,0.0,1.862645149230957e-09,12.839005616109693,30,0,0,7.450580596923828e-08
0.2,path_cost_greedy,iterations,33.266666666666666,23.433333333333334,9.833333333333334,29.55911823647294,1.5,4.364840552486913e-06,1.3537248203217447,27,2,1,5.4564528467163775e-05
0.2,path_cost_greedy,total_distance,478.46666666666664,196.76666666666668,281.7,58.87557475268217,0.0,1.862645149230957e-09,2.798388437967839,30,0,0,7.450580596923828e-08
0.2,path_cost_greedy,blocked_moves,20.533333333333335,0.6666666666666666,19.866666666666667,96.75324675324674,0.0,1.7256857880058036e-06,1.5369374705511292,30,0,0,5.4564528467163775e-05
0.2,path_cost_greedy,redundant_target_ratio,0.7048474102733576,0.0,0.7048474102733576,100.0,0.0,1.862645149230957e-09,10.680797330230453,30,0,0,7.450580596923828e-08
