seed,success,iterations,total_distance,assignment_requests,repair_calls,path_cost_evaluations,empty_repair_events,max_unassigned_agents,max_unassigned_tasks
0,1,67,309.0,67,4,317,61,15,20
1,1,28,231.0,28,6,315,22,15,20
2,0,500,221.0,500,4,321,495,15,20
3,0,500,195.0,500,4,321,494,15,20
4,0,500,313.0,500,5,317,492,15,20
5,1,66,372.0,66,3,319,59,15,20
6,0,500,261.0,500,6,315,493,15,20
7,0,500,196.0,500,4,318,494,15,20
8,0,500,198.0,500,5,316,494,15,20
9,0,500,166.0,500,3,321,495,15,20
10,0,500,326.0,500,6,315,491,15,20
11,0,500,239.0,500,5,316,493,15,20
12,0,500,258.0,500,4,319,491,15,20
13,0,500,290.0,500,4,319,494,15,20
14,1,25,175.0,25,3,321,19,15,20
15,0,500,186.0,500,4,317,495,15,20
16,1,21,162.0,21,3,319,17,15,20
17,0,500,231.0,500,5,317,494,15,20
18,0,500,228.0,500,4,317,494,15,20
19,1,39,258.0,39,6,315,32,15,20
20,1,36,241.0,36,5,317,28,15,20
21,0,500,325.0,500,5,316,493,15,20
22,1,31,196.0,31,5,317,25,15,20
23,0,500,185.0,500,4,318,495,15,20
24,0,500,217.0,500,4,319,495,15,20
25,0,500,237.0,500,4,317,495,15,20
26,0,500,407.0,500,5,316,486,15,20
27,1,43,230.0,43,4,317,38,15,20
28,0,500,178.0,500,5,318,495,15,20
29,1,47,223.0,47,4,319,40,15,20
