seed,success,iterations,total_distance,global_calls,local_repairs,lock_escalations,path_cost_evaluations
2,1,25,209.0,21,3,20,2421
3,1,24,161.0,19,3,18,1416
4,1,27,250.0,20,4,19,2312
6,1,30,240.0,24,5,23,2355
7,1,23,162.0,18,3,17,1413
8,1,26,184.0,21,4,20,1726
9,1,22,171.0,18,2,17,1776
10,1,27,266.0,19,5,18,2340
11,1,29,195.0,23,4,22,1666
12,1,20,215.0,12,3,11,1534
13,1,25,196.0,20,3,19,1939
15,1,22,185.0,18,3,17,1997
17,1,24,181.0,19,4,18,1697
18,1,22,191.0,17,3,16,1907
21,1,29,265.0,23,4,22,2716
23,1,20,172.0,16,3,15,1773
24,1,21,167.0,17,3,16,1729
25,1,23,166.0,19,3,18,1727
26,1,30,312.0,17,4,16,1846
28,1,15,135.0,11,4,10,1248
