algorithm,seed,failure_rate,failed_agents,success,iterations,tasks_completed,total_distance,productive_agents,surviving_agents,distance_per_task,distance_per_surviving_agent,tasks_per_surviving_agent
greedy,0,0.0,0,True,12,20,489.9978327001607,9,15,24.499891635008034,32.666522180010716,1.3333333333333333
greedy,1,0.0,0,True,8,20,329.08069074301534,11,15,16.45403453715077,21.93871271620102,1.3333333333333333
greedy,2,0.0,0,True,6,20,238.413277748346,13,15,11.9206638874173,15.8942185165564,1.3333333333333333
greedy,3,0.0,0,True,9,20,366.3047919646601,12,15,18.315239598233006,24.420319464310676,1.3333333333333333
greedy,4,0.0,0,True,9,20,355.0190929050725,12,15,17.750954645253625,23.667939527004833,1.3333333333333333
greedy,5,0.0,0,True,6,20,240.53558540727136,11,15,12.026779270363567,16.03570569381809,1.3333333333333333
greedy,6,0.0,0,True,10,20,406.75254966692125,11,15,20.33762748334606,27.11683664446142,1.3333333333333333
greedy,7,0.0,0,True,7,20,283.5546374547497,12,15,14.177731872737485,18.903642496983313,1.3333333333333333
greedy,8,0.0,0,True,10,20,411.5333013067861,10,15,20.576665065339306,27.435553420452404,1.3333333333333333
greedy,9,0.0,0,True,7,20,284.34370334545906,9,15,14.217185167272953,18.956246889697272,1.3333333333333333
greedy,10,0.0,0,True,11,20,446.2369900140091,8,15,22.311849500700454,29.74913266760061,1.3333333333333333
greedy,11,0.0,0,True,10,20,408.9611558258176,12,15,20.448057791290882,27.264077055054507,1.3333333333333333
greedy,12,0.0,0,True,12,20,492.3103569168883,9,15,24.615517845844415,32.820690461125885,1.3333333333333333
greedy,13,0.0,0,True,11,20,446.3628506037263,13,15,22.318142530186314,29.757523373581755,1.3333333333333333
greedy,14,0.0,0,True,6,20,236.0311231833332,11,15,11.80155615916666,15.735408212222213,1.3333333333333333
greedy,15,0.0,0,True,14,20,569.3923366215222,10,15,28.46961683107611,37.95948910810148,1.3333333333333333
greedy,16,0.0,0,True,8,20,321.5725343215938,11,15,16.07862671607969,21.438168954772923,1.3333333333333333
greedy,17,0.0,0,True,6,20,242.7245198290606,10,15,12.13622599145303,16.181634655270706,1.3333333333333333
greedy,18,0.0,0,True,9,20,365.7094463327935,11,15,18.285472316639677,24.380629755519568,1.3333333333333333
greedy,19,0.0,0,True,10,20,409.7525697307253,9,15,20.487628486536266,27.316837982048355,1.3333333333333333
greedy,20,0.0,0,True,9,20,368.1103181429926,12,15,18.405515907149628,24.540687876199506,1.3333333333333333
greedy,21,0.0,0,True,6,20,235.17010183295776,11,15,11.758505091647887,15.67800678886385,1.3333333333333333
greedy,22,0.0,0,True,10,20,400.7254836334412,11,15,20.03627418167206,26.715032242229412,1.3333333333333333
greedy,23,0.0,0,True,7,20,284.7505149211843,11,15,14.237525746059214,18.983367661412284,1.3333333333333333
greedy,24,0.0,0,True,8,20,327.672134371951,9,15,16.38360671859755,21.844808958130066,1.3333333333333333
greedy,25,0.0,0,True,8,20,326.45960733499146,10,15,16.322980366749572,21.763973822332765,1.3333333333333333
greedy,26,0.0,0,True,6,20,244.8044777084248,11,15,12.24022388542124,16.320298513894986,1.3333333333333333
greedy,27,0.0,0,True,7,20,281.0669064148477,12,15,14.053345320742386,18.73779376098985,1.3333333333333333
greedy,28,0.0,0,True,6,20,242.7552535186847,11,15,12.137762675934235,16.183683567912315,1.3333333333333333
greedy,29,0.0,0,True,9,20,368.136714781892,13,15,18.4068357390946,24.542447652126135,1.3333333333333333
fixed_pso,0,0.0,0,True,15,20,610.2629011217749,11,15,30.513145056088746,40.684193408118325,1.3333333333333333
fixed_pso,1,0.0,0,True,8,20,324.762180611516,11,15,16.2381090305758,21.650812040767732,1.3333333333333333
fixed_pso,2,0.0,0,True,7,20,268.6170757394249,14,15,13.430853786971245,17.907805049294993,1.3333333333333333
fixed_pso,3,0.0,0,True,14,20,557.0985526513896,11,15,27.854927632569478,37.13990351009264,1.3333333333333333
fixed_pso,4,0.0,0,True,9,20,349.6223326500878,13,15,17.48111663250439,23.308155510005854,1.3333333333333333
fixed_pso,5,0.0,0,True,8,20,319.0890846919772,12,15,15.95445423459886,21.27260564613181,1.3333333333333333
fixed_pso,6,0.0,0,True,11,20,444.19462556418046,12,15,22.209731278209023,29.61297503761203,1.3333333333333333
fixed_pso,7,0.0,0,True,8,20,312.2458875520592,12,15,15.612294377602959,20.816392503470613,1.3333333333333333
fixed_pso,8,0.0,0,True,13,20,520.4469185176716,14,15,26.02234592588358,34.69646123451144,1.3333333333333333
fixed_pso,9,0.0,0,True,8,20,316.4371233308164,11,15,15.82185616654082,21.095808222054426,1.3333333333333333
fixed_pso,10,0.0,0,True,12,20,477.696110405141,12,15,23.88480552025705,31.84640736034273,1.3333333333333333
fixed_pso,11,0.0,0,True,12,20,470.8780867574207,11,15,23.543904337871034,31.391872450494713,1.3333333333333333
fixed_pso,12,0.0,0,True,11,20,447.0603027406213,9,15,22.353015137031065,29.804020182708086,1.3333333333333333
fixed_pso,13,0.0,0,True,12,20,478.43724013961247,13,15,23.921862006980625,31.8958160093075,1.3333333333333333
fixed_pso,14,0.0,0,True,7,20,268.5981491211601,11,15,13.429907456058004,17.906543274744006,1.3333333333333333
fixed_pso,15,0.0,0,True,14,20,553.2940960891751,9,15,27.664704804458758,36.88627307261167,1.3333333333333333
fixed_pso,16,0.0,0,True,11,20,431.1589231282357,12,15,21.557946156411784,28.743928208549047,1.3333333333333333
fixed_pso,17,0.0,0,True,8,20,304.95524368227206,11,15,15.247762184113602,20.330349578818137,1.3333333333333333
fixed_pso,18,0.0,0,True,13,20,522.7303442596736,10,15,26.136517212983684,34.84868961731158,1.3333333333333333
fixed_pso,19,0.0,0,True,11,20,446.8481226492072,9,15,22.34240613246036,29.78987484328048,1.3333333333333333
fixed_pso,20,0.0,0,True,10,20,403.04351990849045,11,15,20.15217599542452,26.869567993899363,1.3333333333333333
fixed_pso,21,0.0,0,True,6,20,234.21353859617585,12,15,11.710676929808793,15.614235906411723,1.3333333333333333
fixed_pso,22,0.0,0,True,11,20,431.8273891298273,12,15,21.591369456491364,28.78849260865515,1.3333333333333333
fixed_pso,23,0.0,0,True,8,20,315.73193193737427,12,15,15.786596596868714,21.04879546249162,1.3333333333333333
fixed_pso,24,0.0,0,True,12,20,478.36205167948793,10,15,23.918102583974395,31.890803445299195,1.3333333333333333
fixed_pso,25,0.0,0,True,8,20,310.79488307280127,11,15,15.539744153640063,20.719658871520085,1.3333333333333333
fixed_pso,26,0.0,0,True,6,20,236.8910170111185,11,15,11.844550850555924,15.7927344674079,1.3333333333333333
fixed_pso,27,0.0,0,True,9,20,350.50035833413904,11,15,17.52501791670695,23.36669055560927,1.3333333333333333
fixed_pso,28,0.0,0,True,10,20,397.0373981400398,12,15,19.85186990700199,26.469159876002653,1.3333333333333333
fixed_pso,29,0.0,0,True,9,20,358.69368566138337,10,15,17.934684283069167,23.91291237742556,1.3333333333333333
dynamic_pso,0,0.0,0,True,15,20,605.8300912157504,11,15,30.29150456078752,40.38867274771669,1.3333333333333333
dynamic_pso,1,0.0,0,True,10,20,396.984076257028,10,15,19.8492038128514,26.465605083801865,1.3333333333333333
dynamic_pso,2,0.0,0,True,7,20,263.3534785520416,14,15,13.167673927602081,17.55689857013611,1.3333333333333333
dynamic_pso,3,0.0,0,True,15,20,590.9005025332636,10,15,29.545025126663184,39.39336683555091,1.3333333333333333
dynamic_pso,4,0.0,0,True,9,20,348.08221012930983,13,15,17.404110506465493,23.205480675287323,1.3333333333333333
dynamic_pso,5,0.0,0,True,8,20,307.91189455727624,12,15,15.395594727863813,20.52745963715175,1.3333333333333333
dynamic_pso,6,0.0,0,True,11,20,432.77927604535,13,15,21.6389638022675,28.851951736356668,1.3333333333333333
dynamic_pso,7,0.0,0,True,9,20,346.5844161326442,13,15,17.32922080663221,23.10562774217628,1.3333333333333333
