algorithm_greedy,seed,num_agents_greedy,num_tasks_greedy,grid_width_greedy,grid_height_greedy,success_greedy,iterations_greedy,tasks_completed_greedy,total_distance_greedy,productive_agents_greedy,unproductive_agents_greedy,algorithm_fixed,num_agents_fixed,num_tasks_fixed,grid_width_fixed,grid_height_fixed,success_fixed,iterations_fixed,tasks_completed_fixed,total_distance_fixed,productive_agents_fixed,unproductive_agents_fixed,iteration_difference,distance_difference,unused_difference
greedy,0,15,10,52,30,True,7,10,290.1008962123574,5,10,fixed_pso,15,10,52,30,True,7,10,284.37468591575475,6,9,0,-5.7262102966026305,-1
greedy,1,15,10,52,30,True,4,10,166.98389134594825,7,8,fixed_pso,15,10,52,30,True,5,10,196.80553086415244,7,8,1,29.821639518204194,0
greedy,2,15,10,52,30,True,5,10,203.42925492294344,7,8,fixed_pso,15,10,52,30,True,7,10,274.57196368239846,8,7,2,71.14270875945502,-1
greedy,3,15,10,52,30,True,4,10,165.59437461363655,8,7,fixed_pso,15,10,52,30,True,4,10,159.36369859227682,8,7,0,-6.230676021359727,0
greedy,4,15,10,52,30,True,8,10,329.2284905809847,9,6,fixed_pso,15,10,52,30,True,9,10,366.1005389152005,7,8,1,36.872048334215776,2
greedy,5,15,10,52,30,True,4,10,163.11419736611117,9,6,fixed_pso,15,10,52,30,True,4,10,157.1489877896387,9,6,0,-5.965209576472461,0
greedy,6,15,10,52,30,True,6,10,244.62821163003892,7,8,fixed_pso,15,10,52,30,True,7,10,287.45580773957954,8,7,1,42.82759610954062,-1
greedy,7,15,10,52,30,True,6,10,248.4199202384807,7,8,fixed_pso,15,10,52,30,True,7,10,286.3110197074741,9,6,1,37.89109946899339,-2
greedy,8,15,10,52,30,True,8,10,332.85697054340966,8,7,fixed_pso,15,10,52,30,True,9,10,366.55568578774006,8,7,1,33.6987152443304,0
greedy,9,15,10,52,30,True,5,10,204.26654629258837,7,8,fixed_pso,15,10,52,30,True,8,10,323.2608470700009,8,7,3,118.99430077741255,-1
greedy,10,15,10,52,30,True,8,10,334.3857838315289,6,9,fixed_pso,15,10,52,30,True,9,10,372.6243210655939,7,8,1,38.23853723406501,-1
greedy,11,15,10,52,30,True,7,10,288.447176109879,8,7,fixed_pso,15,10,52,30,True,8,10,317.33730316008626,9,6,1,28.89012705020724,-1
greedy,12,15,10,52,30,True,4,10,165.9806716034383,7,8,fixed_pso,15,10,52,30,True,5,10,198.18878264629703,8,7,1,32.20811104285872,-1
greedy,13,15,10,52,30,True,8,10,324.62849534455285,7,8,fixed_pso,15,10,52,30,True,10,10,406.59731277740906,7,8,2,81.96881743285621,0
greedy,14,15,10,52,30,True,4,10,162.41919907343225,8,7,fixed_pso,15,10,52,30,True,5,10,193.03933360314036,8,7,1,30.62013452970811,0
greedy,15,15,10,52,30,True,13,10,535.7784751114075,8,7,fixed_pso,15,10,52,30,True,13,10,538.3334627512215,7,8,0,2.554987639814044,1
greedy,16,15,10,52,30,True,4,10,161.17003487179375,7,8,fixed_pso,15,10,52,30,True,5,10,202.0111629919605,8,7,1,40.84112812016676,-1
greedy,17,15,10,52,30,True,3,10,125.08268165365963,7,8,fixed_pso,15,10,52,30,True,5,10,195.35112476770735,8,7,2,70.26844311404771,-1
greedy,18,15,10,52,30,True,9,10,376.754949577717,7,8,fixed_pso,15,10,52,30,True,9,10,366.5754193629455,6,9,0,-10.17953021477149,1
greedy,19,15,10,52,30,True,6,10,247.62964763596776,5,10,fixed_pso,15,10,52,30,True,8,10,327.1562572535327,7,8,2,79.52660961756496,-2
greedy,20,15,10,52,30,True,9,10,373.7810619471097,7,8,fixed_pso,15,10,52,30,True,9,10,366.4254026187141,8,7,0,-7.355659328395632,-1
greedy,21,15,10,52,30,True,5,10,202.54428071400145,7,8,fixed_pso,15,10,52,30,True,6,10,238.46046000524672,7,8,1,35.91617929124527,0
greedy,22,15,10,52,30,True,5,10,204.44015033711247,7,8,fixed_pso,15,10,52,30,True,5,10,196.8165637056321,9,6,0,-7.623586631480379,-2
greedy,23,15,10,52,30,True,11,10,455.7321748313453,6,9,fixed_pso,15,10,52,30,True,11,10,445.328571732097,8,7,0,-10.4036030992483,-2
greedy,24,15,10,52,30,True,7,10,289.51317017214615,6,9,fixed_pso,15,10,52,30,True,9,10,369.1812576067858,7,8,2,79.66808743463963,-1
greedy,25,15,10,52,30,True,8,10,329.64860160412974,7,8,fixed_pso,15,10,52,30,True,7,10,284.8427768078819,9,6,-1,-44.80582479624786,-2
greedy,26,15,10,52,30,True,4,10,163.70645336885775,8,7,fixed_pso,15,10,52,30,True,4,10,158.36541237764047,8,7,0,-5.341040991217284,0
greedy,27,15,10,52,30,True,4,10,163.54138331092338,9,6,fixed_pso,15,10,52,30,True,6,10,239.68784015073007,9,6,2,76.14645683980669,0
greedy,28,15,10,52,30,True,5,10,202.14285398453111,8,7,fixed_pso,15,10,52,30,True,6,10,235.6934718925956,8,7,1,33.55061790806448,0
greedy,29,15,10,52,30,True,6,10,250.1930329409168,8,7,fixed_pso,15,10,52,30,True,7,10,286.62856037530554,7,8,1,36.435527434388746,1
