seed,scenario_fingerprint,algorithm,num_agents,num_tasks,obstacle_density,success,iterations,total_distance,productive_agents,blocked_moves,redundant_target_ratio,runtime_seconds
0,5b72b122335855fa9c91c1bd3352a2249c051455fc1e672433c289bfdd1d8f56,manhattan_greedy,15,20,0.0,1,34,497.0,10,13,0.7372549019607844,0.16058399300527526
0,5b72b122335855fa9c91c1bd3352a2249c051455fc1e672433c289bfdd1d8f56,path_cost_greedy,15,20,0.0,1,34,497.0,10,13,0.7372549019607844,2.4865859239944257
0,5b72b122335855fa9c91c1bd3352a2249c051455fc1e672433c289bfdd1d8f56,hungarian_astar,15,20,0.0,1,22,174.0,13,1,0.0,2.7382353269931627
1,18aee83d33580edee6255025d6cb943369681f500b07431b2dca4c91162b53dd,manhattan_greedy,15,20,0.0,1,35,497.0,10,28,0.7371428571428571,0.1512084979985957
1,18aee83d33580edee6255025d6cb943369681f500b07431b2dca4c91162b53dd,path_cost_greedy,15,20,0.0,1,35,497.0,10,28,0.7371428571428571,4.727236931001244
1,18aee83d33580edee6255025d6cb943369681f500b07431b2dca4c91162b53dd,hungarian_astar,15,20,0.0,1,29,195.0,13,0,0.0,4.868852132000029
2,3329ae72f1c54ad257707e336403eaa4ee8e1e63d02bd512a5a7cf83910f91ab,manhattan_greedy,15,20,0.0,1,28,414.0,11,6,0.7095238095238096,0.2023872920035501
2,3329ae72f1c54ad257707e336403eaa4ee8e1e63d02bd512a5a7cf83910f91ab,path_cost_greedy,15,20,0.0,1,28,414.0,11,6,0.7095238095238096,6.108513630999369
2,3329ae72f1c54ad257707e336403eaa4ee8e1e63d02bd512a5a7cf83910f91ab,hungarian_astar,15,20,0.0,1,21,151.0,13,1,0.0,5.206654639994667
3,da2d8601c07b7794674f041f7ce085e934feb8b975eca3199a39f62bbc6ba8a3,manhattan_greedy,15,20,0.0,1,25,369.0,10,6,0.7066666666666667,0.13296794099733233
3,da2d8601c07b7794674f041f7ce085e934feb8b975eca3199a39f62bbc6ba8a3,path_cost_greedy,15,20,0.0,1,25,369.0,10,6,0.7066666666666667,3.1064993309992133
3,da2d8601c07b7794674f041f7ce085e934feb8b975eca3199a39f62bbc6ba8a3,hungarian_astar,15,20,0.0,1,17,148.0,12,0,0.0,2.694197525001073
4,2d1f7ee5d65fe44a069001c23d30cc7a088e23a8ff332c76fd23fa1ff88e0495,manhattan_greedy,15,20,0.0,1,33,478.0,11,17,0.7616161616161616,0.21531316699838499
4,2d1f7ee5d65fe44a069001c23d30cc7a088e23a8ff332c76fd23fa1ff88e0495,path_cost_greedy,15,20,0.0,1,33,478.0,11,17,0.7616161616161616,2.8933363020041725
