seed,scenario_fingerprint,algorithm,num_agents,num_tasks,obstacle_density,success,iterations,total_distance,productive_agents,blocked_moves,redundant_target_ratio,runtime_seconds
0,fa174d53bdf9e983cefcc6420dcff3457cfeacff29fd00a6f4450a7b53c1dfc6,manhattan_greedy,5,10,0.2,1,50,243.0,5,7,0.552,0.20576160300697666
0,fa174d53bdf9e983cefcc6420dcff3457cfeacff29fd00a6f4450a7b53c1dfc6,path_cost_greedy,5,10,0.2,1,50,244.0,5,6,0.516,1.1268556629947852
0,fa174d53bdf9e983cefcc6420dcff3457cfeacff29fd00a6f4450a7b53c1dfc6,hungarian_astar,5,10,0.2,1,50,144.0,5,0,0.0,0.9357489969988819
1,fb2d238068d28f45517ffe988c9b44c9d3c7ba77e2ab5d0cd978d8449cbd749a,manhattan_greedy,5,10,0.2,1,50,240.0,4,10,0.54,0.04526652999629732
1,fb2d238068d28f45517ffe988c9b44c9d3c7ba77e2ab5d0cd978d8449cbd749a,path_cost_greedy,5,10,0.2,1,39,194.0,4,1,0.4512820512820513,0.8454140199901303
1,fb2d238068d28f45517ffe988c9b44c9d3c7ba77e2ab5d0cd978d8449cbd749a,hungarian_astar,5,10,0.2,1,33,128.0,5,0,0.0,0.6354598570032977
2,e4f70dcde20d7f7efcc88054b72108bb88072adb8dfd2b2491235a9e55bd842d,manhattan_greedy,5,10,0.2,1,26,130.0,5,0,0.3769230769230769,0.038243717994191684
2,e4f70dcde20d7f7efcc88054b72108bb88072adb8dfd2b2491235a9e55bd842d,path_cost_greedy,5,10,0.2,1,26,130.0,5,0,0.3769230769230769,0.48471532299299724
2,e4f70dcde20d7f7efcc88054b72108bb88072adb8dfd2b2491235a9e55bd842d,hungarian_astar,5,10,0.2,1,26,105.0,4,0,0.0,0.476126686000498
3,e276253bb498ea02dfaa47703d7b340ab88aa24bda63048092ff2c580c774053,manhattan_greedy,5,10,0.2,1,36,177.0,4,3,0.45555555555555555,0.029436771001201123
3,e276253bb498ea02dfaa47703d7b340ab88aa24bda63048092ff2c580c774053,path_cost_greedy,5,10,0.2,1,36,179.0,4,1,0.45555555555555555,0.33871993600041606
3,e276253bb498ea02dfaa47703d7b340ab88aa24bda63048092ff2c580c774053,hungarian_astar,5,10,0.2,1,36,153.0,4,0,0.0,0.3501697680039797
4,9bce541077215425beec3f402905d86d4cf1c30170b514fb8bdcab6b299026db,manhattan_greedy,5,10,0.2,1,129,618.0,5,27,0.7426356589147287,0.4823060000053374
4,9bce541077215425beec3f402905d86d4cf1c30170b514fb8bdcab6b299026db,path_cost_greedy,5,10,0.2,1,87,428.0,5,7,0.6436781609195402,1.085120764997555
4,9bce541077215425beec3f402905d86d4cf1c30170b514fb8bdcab6b299026db,hungarian_astar,5,10,0.2,1,51,195.0,5,0,0.0,0.8011881120037287
5,225bfb7674c5a89046adcb75d91949ec4b76ec44279244d7c1ba5e709f632d76,manhattan_greedy,5,10,0.2,1,70,344.0,4,6,0.6628571428571428,0.09282056799565908
5,225bfb7674c5a89046adcb75d91949ec4b76ec44279244d7c1ba5e709f632d76,path_cost_greedy,5,10,0.2,1,74,360.0,4,10,0.6702702702702703,0.6550259229989024
5,225bfb7674c5a89046adcb75d91949ec4b76ec44279244d7c1ba5e709f632d76,hungarian_astar,5,10,0.2,1,49,180.0,5,0,0.0,0.6861521499959053
6,c4be49fcebe36f5c0c1b45025c60d9381c19fe33ab94257c54ec1a3c4f970eaa,manhattan_greedy,5,10,0.2,1,79,392.0,4,3,0.6481012658227848,0.19649458200728986
6,c4be49fcebe36f5c0c1b45025c60d9381c19fe33ab94257c54ec1a3c4f970eaa,path_cost_greedy,5,10,0.2,1,72,359.0,4,1,0.5777777777777777,1.2528658549999818
6,c4be49fcebe36f5c0c1b45025c60d9381c19fe33ab94257c54ec1a3c4f970eaa,hungarian_astar,5,10,0.2,1,51,182.0,5,0,0.0,1.0724323670001468
7,647dda2b02306f6867702bc528a934949c5b4db4441894440db4f41aa285c01d,manhattan_greedy,5,10,0.2,1,58,288.0,4,2,0.596551724137931,0.08693058100470807
7,647dda2b02306f6867702bc528a934949c5b4db4441894440db4f41aa285c01d,path_cost_greedy,5,10,0.2,1,58,288.0,4,2,0.596551724137931,0.6856911890063202
7,647dda2b02306f6867702bc528a934949c5b4db4441894440db4f41aa285c01d,hungarian_astar,5,10,0.2,1,48,170.0,5,0,0.0,0.7093435499991756
8,812a7f64bcdde132979a64e9744923112d0a9adceff4a9e7fda3c8465bc0e391,manhattan_greedy,5,10,0.2,1,34,164.0,3,6,0.4470588235294118,0.05051344800449442
8,812a7f64bcdde132979a64e9744923112d0a9adceff4a9e7fda3c8465bc0e391,path_cost_greedy,5,10,0.2,1,34,164.0,3,6,0.4235294117647059,0.7016223739919951
8,812a7f64bcdde132979a64e9744923112d0a9adceff4a9e7fda3c8465bc0e391,hungarian_astar,5,10,0.2,1,29,117.0,5,0,0.0,0.702254757998162
9,30cbe1064c46d0f65999fdef0401ceda9990a90fb9bc62a500c17e86fca38cf1,manhattan_greedy,5,10,0.2,1,32,157.0,3,3,0.51875,0.03717663300631102
9,30cbe1064c46d0f65999fdef0401ceda9990a90fb9bc62a500c17e86fca38cf1,path_cost_greedy,5,10,0.2,1,32,157.0,3,3,0.51875,0.3388416700036032
9,30cbe1064c46d0f65999fdef0401ceda9990a90fb9bc62a500c17e86fca38cf1,hungarian_astar,5,10,0.2,1,30,106.0,5,0,0.0,0.32228700000268873
10,ee6f3f60e355908ac81ceca95937a7702e3d4c96017eccaa691ea91c1969104b,manhattan_greedy,5,10,0.2,1,27,134.0,4,1,0.45185185185185184,0.034524856993812136
10,ee6f3f60e355908ac81ceca95937a7702e3d4c96017eccaa691ea91c1969104b,path_cost_greedy,5,10,0.2,1,27,135.0,4,0,0.45925925925925926,0.5222070289892145
10,ee6f3f60e355908ac81ceca95937a7702e3d4c96017eccaa691ea91c1969104b,hungarian_astar,5,10,0.2,1,27,96.0,5,0,0.0,0.42419601599976886
11,06befd4fa67eabc785ae44b953dee447e5b5906dd9bd4435ad50c206bd3fd6d4,manhattan_greedy,5,10,0.2,1,80,387.0,4,13,0.72,0.07383133399707731
11,06befd4fa67eabc785ae44b953dee447e5b5906dd9bd4435ad50c206bd3fd6d4,path_cost_greedy,5,10,0.2,1,80,387.0,4,13,0.7325,1.1102600339945639
11,06befd4fa67eabc785ae44b953dee447e5b5906dd9bd4435ad50c206bd3fd6d4,hungarian_astar,5,10,0.2,1,45,187.0,5,0,0.0,0.8242870210087858
12,d2e39474d14064867f4a0cfa86a60d88706750cf310c73c517971bcc6f86b32e,manhattan_greedy,5,10,0.2,1,59,289.0,4,6,0.4406779661016949,0.0968689639994409
12,d2e39474d14064867f4a0cfa86a60d88706750cf310c73c517971bcc6f86b32e,path_cost_greedy,5,10,0.2,1,61,303.0,4,2,0.5475409836065573,1.20064566200017
12,d2e39474d14064867f4a0cfa86a60d88706750cf310c73c517971bcc6f86b32e,hungarian_astar,5,10,0.2,1,49,176.0,5,0,0.0,0.9309260719892336
13,7d164f8e0f0b74cd17fd3dbd1d4cb50fcb5103a237af23329edc90278e6887a4,manhattan_greedy,5,10,0.2,1,33,165.0,3,0,0.5333333333333333,0.04485846101306379
13,7d164f8e0f0b74cd17fd3dbd1d4cb50fcb5103a237af23329edc90278e6887a4,path_cost_greedy,5,10,0.2,1,33,165.0,3,0,0.5333333333333333,0.7493442100094398
