seed,scenario_fingerprint,algorithm,num_agents,num_tasks,obstacle_density,failure_rate,failure_iteration,failed_agent_count,failed_agent_ids,success,iterations,completed_tasks,total_distance,productive_agents,blocked_moves,unreachable_plans,redundant_target_ratio,runtime_seconds
0,373da5453cae534ed0e5820cb254f00ee54b9e236b910ecc507d40c86c37ed24,manhattan_greedy,15,20,0.2,0.0,5,0,,1,39,20,561.0,11,24,0,0.717948717948718,0.35154796700226143
0,373da5453cae534ed0e5820cb254f00ee54b9e236b910ecc507d40c86c37ed24,path_cost_greedy,15,20,0.2,0.0,5,0,,1,32,20,467.0,12,13,0,0.6979166666666666,5.094148454998503
0,373da5453cae534ed0e5820cb254f00ee54b9e236b910ecc507d40c86c37ed24,hungarian_astar,15,20,0.2,0.0,5,0,,1,28,20,221.0,14,0,0,0.0,4.02054165599111
1,d9a2b175a7a3e1c67e9d2c435d9f3d50a2255318b91a79b9d0ee145f56f73c1b,manhattan_greedy,15,20,0.2,0.0,5,0,,1,37,20,541.0,10,14,0,0.7585585585585586,0.3951572509977268
1,d9a2b175a7a3e1c67e9d2c435d9f3d50a2255318b91a79b9d0ee145f56f73c1b,path_cost_greedy,15,20,0.2,0.0,5,0,,1,34,20,492.0,11,18,0,0.7215686274509804,4.979664939004579
1,d9a2b175a7a3e1c67e9d2c435d9f3d50a2255318b91a79b9d0ee145f56f73c1b,hungarian_astar,15,20,0.2,0.0,5,0,,1,20,20,195.0,12,1,0,0.0,2.8219963810115587
2,2c7aa5014f855d42cded0b042f5e559caf46c97c96b4ef879ce5a145ed99f338,manhattan_greedy,15,20,0.2,0.0,5,0,,1,43,20,620.0,9,25,0,0.7395348837209302,0.21339619500213303
2,2c7aa5014f855d42cded0b042f5e559caf46c97c96b4ef879ce5a145ed99f338,path_cost_greedy,15,20,0.2,0.0,5,0,,1,41,20,593.0,9,22,0,0.7479674796747967,2.9352362109930255
2,2c7aa5014f855d42cded0b042f5e559caf46c97c96b4ef879ce5a145ed99f338,hungarian_astar,15,20,0.2,0.0,5,0,,1,27,20,207.0,13,2,0,0.0,2.767390875000274
3,2b287e1ca6dbe51a24893c7a8f39cb821fad66d6441d6040b6e3bdfc80eb40e8,manhattan_greedy,15,20,0.2,0.0,5,0,,1,30,20,429.0,12,21,0,0.7511111111111111,0.23136604799947236
3,2b287e1ca6dbe51a24893c7a8f39cb821fad66d6441d6040b6e3bdfc80eb40e8,path_cost_greedy,15,20,0.2,0.0,5,0,,1,30,20,423.0,12,27,0,0.7466666666666667,2.0630110850033816
3,2b287e1ca6dbe51a24893c7a8f39cb821fad66d6441d6040b6e3bdfc80eb40e8,hungarian_astar,15,20,0.2,0.0,5,0,,1,21,20,163.0,12,0,0,0.0,1.917352240998298
4,cdbdf308308dd71e329118a2a893e15624480f1b166789148f15f5570f62b09f,manhattan_greedy,15,20,0.2,0.0,5,0,,1,40,20,563.0,9,37,0,0.755,0.17952482799591962
4,cdbdf308308dd71e329118a2a893e15624480f1b166789148f15f5570f62b09f,path_cost_greedy,15,20,0.2,0.0,5,0,,1,42,20,597.0,9,33,0,0.7682539682539683,3.9547316120006144
4,cdbdf308308dd71e329118a2a893e15624480f1b166789148f15f5570f62b09f,hungarian_astar,15,20,0.2,0.0,5,0,,1,27,20,241.0,13,2,0,0.0,3.647362397998222
5,084842ed1c0283d8869644d15d61f080bbc611ac9eed102df56952f8d59f0d98,manhattan_greedy,15,20,0.2,0.0,5,0,,1,40,20,577.0,9,23,0,0.705,0.5293962300056592
5,084842ed1c0283d8869644d15d61f080bbc611ac9eed102df56952f8d59f0d98,path_cost_greedy,15,20,0.2,0.0,5,0,,1,40,20,583.0,9,17,0,0.7183333333333334,10.488214002005407
5,084842ed1c0283d8869644d15d61f080bbc611ac9eed102df56952f8d59f0d98,hungarian_astar,15,20,0.2,0.0,5,0,,1,29,20,238.0,12,0,0,0.0,15.984317669004668
6,ab571899befc6e625b077ab5562b411484b2d802dfcdaab3537961193a88bc99,manhattan_greedy,15,20,0.2,0.0,5,0,,1,36,20,517.0,12,23,0,0.7129629629629629,0.3441662429977441
