algorithm,seed,num_agents,num_tasks,grid_width,grid_height,success,iterations,tasks_completed,total_distance,productive_agents,unproductive_agents
dynamic_pso,0,15,10,52,30,True,7,10,283.8732238546567,6,9
dynamic_pso,1,15,10,52,30,True,5,10,194.71229094417095,8,7
dynamic_pso,2,15,10,52,30,True,7,10,272.22267343409163,8,7
dynamic_pso,3,15,10,52,30,True,4,10,158.25192553433732,8,7
dynamic_pso,4,15,10,52,30,True,9,10,364.8976826779669,8,7
dynamic_pso,5,15,10,52,30,True,4,10,156.8559408195631,9,6
dynamic_pso,6,15,10,52,30,True,7,10,286.1495841298985,8,7
dynamic_pso,7,15,10,52,30,True,7,10,285.1702521126763,9,6
dynamic_pso,8,15,10,52,30,True,11,10,446.1489053150356,9,6
dynamic_pso,9,15,10,52,30,True,8,10,323.71038044865355,8,7
dynamic_pso,10,15,10,52,30,True,9,10,370.928456953019,7,8
dynamic_pso,11,15,10,52,30,True,8,10,314.3135080693905,8,7
dynamic_pso,12,15,10,52,30,True,5,10,196.58691570601255,8,7
dynamic_pso,13,15,10,52,30,True,10,10,405.03126875735165,8,7
dynamic_pso,14,15,10,52,30,True,5,10,194.30328478140035,8,7
dynamic_pso,15,15,10,52,30,True,13,10,537.33298458321,7,8
dynamic_pso,16,15,10,52,30,True,5,10,200.69828196813273,8,7
dynamic_pso,17,15,10,52,30,True,5,10,192.8105404215129,8,7
dynamic_pso,18,15,10,52,30,True,9,10,364.04841625625045,6,9
dynamic_pso,19,15,10,52,30,True,8,10,326.2379990097172,7,8
dynamic_pso,20,15,10,52,30,True,9,10,364.3078855285155,8,7
dynamic_pso,21,15,10,52,30,True,6,10,238.0341316857883,7,8
dynamic_pso,22,15,10,52,30,True,5,10,193.66361432165888,8,7
dynamic_pso,23,15,10,52,30,True,11,10,442.6360365107489,8,7
dynamic_pso,24,15,10,52,30,True,9,10,366.68133884695385,7,8
dynamic_pso,25,15,10,52,30,True,7,10,283.0625101520472,9,6
dynamic_pso,26,15,10,52,30,True,4,10,157.25703931880042,8,7
dynamic_pso,27,15,10,52,30,True,5,10,199.26548188707505,9,6
dynamic_pso,28,15,10,52,30,True,6,10,233.91779533190874,8,7
dynamic_pso,29,15,10,52,30,True,7,10,284.54478170214657,7,8
dynamic_pso,30,15,10,52,30,True,4,10,159.3338239059735,8,7
dynamic_pso,31,15,10,52,30,True,5,10,197.11290784768875,7,8
dynamic_pso,32,15,10,52,30,True,7,10,281.01097832302156,7,8
dynamic_pso,33,15,10,52,30,True,7,10,281.272957097224,7,8
dynamic_pso,34,15,10,52,30,True,5,10,198.48889245855625,8,7
dynamic_pso,35,15,10,52,30,True,6,10,242.0791336740748,10,5
dynamic_pso,36,15,10,52,30,True,8,10,317.36698797839495,8,7
dynamic_pso,37,15,10,52,30,True,4,10,160.06071960949245,7,8
dynamic_pso,38,15,10,52,30,True,5,10,195.1270273609379,8,7
dynamic_pso,39,15,10,52,30,True,7,10,281.6572040720654,7,8
dynamic_pso,40,15,10,52,30,True,3,10,118.98250887531378,7,8
dynamic_pso,41,15,10,52,30,True,4,10,163.35502751657665,9,6
dynamic_pso,42,15,10,52,30,True,5,10,199.3212245662478,9,6
dynamic_pso,43,15,10,52,30,True,3,10,119.60371367697569,6,9
dynamic_pso,44,15,10,52,30,True,6,10,227.86492612776192,9,6
dynamic_pso,45,15,10,52,30,True,9,10,370.5860937765938,9,6
dynamic_pso,46,15,10,52,30,True,7,10,273.16870845427553,6,9
dynamic_pso,47,15,10,52,30,True,10,10,404.4227539763781,7,8
dynamic_pso,48,15,10,52,30,True,8,10,325.1325327445017,8,7
dynamic_pso,49,15,10,52,30,True,6,10,239.58391147066922,7,8
