seed,scenario_fingerprint,failure_rate,failed_agent_ids,method,success,iterations,total_distance,blocked_moves,redundancy,runtime_seconds,assignment_requests,global_assignment_calls,event_replans,periodic_replans
0,373da5453cae534ed0e5820cb254f00ee54b9e236b910ecc507d40c86c37ed24,0.0,,repeated,1,28,221.0,0,0.0,2.8707070630043745,28,28,nan,nan
0,373da5453cae534ed0e5820cb254f00ee54b9e236b910ecc507d40c86c37ed24,0.0,,event_global,1,28,221.0,0,0.0,1.6953866629919503,28,15,14,0
0,373da5453cae534ed0e5820cb254f00ee54b9e236b910ecc507d40c86c37ed24,0.0,,local_repair,1,67,309.0,0,0.0,0.34071769600268453,67,4,nan,nan
1,d9a2b175a7a3e1c67e9d2c435d9f3d50a2255318b91a79b9d0ee145f56f73c1b,0.0,,repeated,1,20,195.0,1,0.0,2.1325177250109846,20,20,nan,nan
1,d9a2b175a7a3e1c67e9d2c435d9f3d50a2255318b91a79b9d0ee145f56f73c1b,0.0,,event_global,1,20,195.0,1,0.0,1.6779287550016306,20,14,13,0
1,d9a2b175a7a3e1c67e9d2c435d9f3d50a2255318b91a79b9d0ee145f56f73c1b,0.0,,local_repair,1,28,231.0,2,0.0,0.24632503199973144,28,6,nan,nan
2,2c7aa5014f855d42cded0b042f5e559caf46c97c96b4ef879ce5a145ed99f338,0.0,,repeated,1,27,207.0,2,0.0,1.9061334869911661,27,27,nan,nan
2,2c7aa5014f855d42cded0b042f5e559caf46c97c96b4ef879ce5a145ed99f338,0.0,,event_global,1,27,207.0,2,0.0,1.0860760880023008,27,13,12,0
2,2c7aa5014f855d42cded0b042f5e559caf46c97c96b4ef879ce5a145ed99f338,0.0,,local_repair,0,500,221.0,497,0.0,0.3387848130078055,500,4,nan,nan
3,2b287e1ca6dbe51a24893c7a8f39cb821fad66d6441d6040b6e3bdfc80eb40e8,0.0,,repeated,1,21,163.0,0,0.0,1.2168767469993327,21,21,nan,nan
3,2b287e1ca6dbe51a24893c7a8f39cb821fad66d6441d6040b6e3bdfc80eb40e8,0.0,,event_global,1,21,163.0,0,0.0,0.7706841990002431,21,12,11,0
3,2b287e1ca6dbe51a24893c7a8f39cb821fad66d6441d6040b6e3bdfc80eb40e8,0.0,,local_repair,0,500,195.0,973,0.0,0.2925513700029114,500,4,nan,nan
4,cdbdf308308dd71e329118a2a893e15624480f1b166789148f15f5570f62b09f,0.0,,repeated,1,27,241.0,2,0.0,2.0553928739973344,27,27,nan,nan
