seed,scenario_fingerprint,failure_rate,failed_agent_ids,method,success,iterations,total_distance,blocked_moves,redundancy,runtime_seconds,assignment_requests,global_assignment_calls,path_cost_evaluations,successful_astar_queries,unreachable_astar_queries
0,373da5453cae534ed0e5820cb254f00ee54b9e236b910ecc507d40c86c37ed24,0.0,,repeated,1,28,221.0,0,0.0,4.393181631996413,28,28,3585,3585,0
0,373da5453cae534ed0e5820cb254f00ee54b9e236b910ecc507d40c86c37ed24,0.0,,event_global,1,28,221.0,0,0.0,2.493422303989064,28,15,2205,2205,0
1,d9a2b175a7a3e1c67e9d2c435d9f3d50a2255318b91a79b9d0ee145f56f73c1b,0.0,,repeated,1,20,195.0,1,0.0,2.9454877730022417,20,20,3165,3165,0
1,d9a2b175a7a3e1c67e9d2c435d9f3d50a2255318b91a79b9d0ee145f56f73c1b,0.0,,event_global,1,20,195.0,1,0.0,2.652543121992494,20,14,2415,2415,0
2,2c7aa5014f855d42cded0b042f5e559caf46c97c96b4ef879ce5a145ed99f338,0.0,,repeated,1,27,207.0,2,0.0,3.4111168140079826,27,27,3360,3360,0
2,2c7aa5014f855d42cded0b042f5e559caf46c97c96b4ef879ce5a145ed99f338,0.0,,event_global,1,27,207.0,2,0.0,2.1512090530013666,27,13,1815,1815,0
3,2b287e1ca6dbe51a24893c7a8f39cb821fad66d6441d6040b6e3bdfc80eb40e8,0.0,,repeated,1,21,163.0,0,0.0,2.269290340002044,21,21,2715,2715,0
3,2b287e1ca6dbe51a24893c7a8f39cb821fad66d6441d6040b6e3bdfc80eb40e8,0.0,,event_global,1,21,163.0,0,0.0,1.3508339520049049,21,12,1740,1740,0
4,cdbdf308308dd71e329118a2a893e15624480f1b166789148f15f5570f62b09f,0.0,,repeated,1,27,241.0,2,0.0,3.206908514999668,27,27,3840,3840,0
4,cdbdf308308dd71e329118a2a893e15624480f1b166789148f15f5570f62b09f,0.0,,event_global,1,27,241.0,2,0.0,2.253362224000739,27,15,2370,2370,0
5,084842ed1c0283d8869644d15d61f080bbc611ac9eed102df56952f8d59f0d98,0.0,,repeated,1,29,238.0,0,0.0,8.931652257000678,29,29,3885,3885,0
