seed,scenario_fingerprint,failure_rate,failed_agent_ids,method,success,iterations,total_distance,blocked_moves,redundancy,runtime_seconds,assignment_requests,global_assignment_calls,local_repair_calls,lock_escalations,path_cost_evaluations,successful_astar_queries,unreachable_astar_queries
0,373da5453cae534ed0e5820cb254f00ee54b9e236b910ecc507d40c86c37ed24,0.0,,repeated,1,28,221.0,0,0.0,3.7690426299959654,28,28,0,0,3585,3585,0
0,373da5453cae534ed0e5820cb254f00ee54b9e236b910ecc507d40c86c37ed24,0.0,,event_global,1,28,221.0,0,0.0,2.0800211259920616,28,15,0,0,2205,2205,0
0,373da5453cae534ed0e5820cb254f00ee54b9e236b910ecc507d40c86c37ed24,0.0,,local_repair,1,67,309.0,0,0.0,0.36526882300677244,67,4,4,0,317,317,0
0,373da5453cae534ed0e5820cb254f00ee54b9e236b910ecc507d40c86c37ed24,0.0,,lock_aware,1,30,208.0,0,0.0,1.7048760670004413,30,25,3,24,2087,2087,0
1,d9a2b175a7a3e1c67e9d2c435d9f3d50a2255318b91a79b9d0ee145f56f73c1b,0.0,,repeated,1,20,195.0,1,0.0,2.1729082310048398,20,20,0,0,3165,3165,0
1,d9a2b175a7a3e1c67e9d2c435d9f3d50a2255318b91a79b9d0ee145f56f73c1b,0.0,,event_global,1,20,195.0,1,0.0,1.6245778360025724,20,14,0,0,2415,2415,0
1,d9a2b175a7a3e1c67e9d2c435d9f3d50a2255318b91a79b9d0ee145f56f73c1b,0.0,,local_repair,1,28,231.0,2,0.0,0.2799549199989997,28,6,6,0,315,315,0
1,d9a2b175a7a3e1c67e9d2c435d9f3d50a2255318b91a79b9d0ee145f56f73c1b,0.0,,lock_aware,1,21,200.0,1,0.0,1.226798161995248,21,16,5,15,1980,1980,0
2,2c7aa5014f855d42cded0b042f5e559caf46c97c96b4ef879ce5a145ed99f338,0.0,,repeated,1,27,207.0,2,0.0,1.986637966008857,27,27,0,0,3360,3360,0
2,2c7aa5014f855d42cded0b042f5e559caf46c97c96b4ef879ce5a145ed99f338,0.0,,event_global,1,27,207.0,2,0.0,1.0860444669960998,27,13,0,0,1815,1815,0
