algorithm,seed,num_agents,num_tasks,grid_width,grid_height,success,iterations,tasks_completed,total_distance,productive_agents,unproductive_agents
fixed_pso,0,15,10,52,30,True,7,10,284.37468591575475,6,9
fixed_pso,1,15,10,52,30,True,5,10,196.80553086415244,7,8
fixed_pso,2,15,10,52,30,True,7,10,274.57196368239846,8,7
fixed_pso,3,15,10,52,30,True,4,10,159.36369859227682,8,7
fixed_pso,4,15,10,52,30,True,9,10,366.10053891520045,7,8
fixed_pso,5,15,10,52,30,True,4,10,157.1489877896387,9,6
fixed_pso,6,15,10,52,30,True,7,10,287.45580773957954,8,7
fixed_pso,7,15,10,52,30,True,7,10,286.3110197074741,9,6
fixed_pso,8,15,10,52,30,True,9,10,366.55568578774006,8,7
fixed_pso,9,15,10,52,30,True,8,10,323.2608470700009,8,7
fixed_pso,10,15,10,52,30,True,9,10,372.6243210655939,7,8
fixed_pso,11,15,10,52,30,True,8,10,317.33730316008626,9,6
fixed_pso,12,15,10,52,30,True,5,10,198.18878264629703,8,7
fixed_pso,13,15,10,52,30,True,10,10,406.59731277740906,7,8
fixed_pso,14,15,10,52,30,True,5,10,193.03933360314034,8,7
fixed_pso,15,15,10,52,30,True,13,10,538.3334627512215,7,8
fixed_pso,16,15,10,52,30,True,5,10,202.0111629919605,8,7
fixed_pso,17,15,10,52,30,True,5,10,195.35112476770738,8,7
fixed_pso,18,15,10,52,30,True,9,10,366.5754193629455,6,9
fixed_pso,19,15,10,52,30,True,8,10,327.1562572535327,7,8
fixed_pso,20,15,10,52,30,True,9,10,366.4254026187141,8,7
fixed_pso,21,15,10,52,30,True,6,10,238.46046000524672,7,8
fixed_pso,22,15,10,52,30,True,5,10,196.81656370563212,9,6
fixed_pso,23,15,10,52,30,True,11,10,445.328571732097,8,7
fixed_pso,24,15,10,52,30,True,9,10,369.18125760678583,7,8
fixed_pso,25,15,10,52,30,True,7,10,284.8427768078819,9,6
fixed_pso,26,15,10,52,30,True,4,10,158.36541237764047,8,7
fixed_pso,27,15,10,52,30,True,6,10,239.68784015073012,9,6
fixed_pso,28,15,10,52,30,True,6,10,235.69347189259557,8,7
fixed_pso,29,15,10,52,30,True,7,10,286.62856037530554,7,8
fixed_pso,30,15,10,52,30,True,4,10,162.99306732115699,8,7
fixed_pso,31,15,10,52,30,True,5,10,197.21665714285248,7,8
fixed_pso,32,15,10,52,30,True,7,10,283.41236807086545,7,8
fixed_pso,33,15,10,52,30,True,7,10,283.0737324075294,7,8
fixed_pso,34,15,10,52,30,True,5,10,197.36692290985852,10,5
fixed_pso,35,15,10,52,30,True,6,10,243.65483378638154,10,5
fixed_pso,36,15,10,52,30,True,8,10,319.3670026938691,8,7
fixed_pso,37,15,10,52,30,True,4,10,161.00811178621285,7,8
fixed_pso,38,15,10,52,30,True,5,10,197.2038645300744,8,7
fixed_pso,39,15,10,52,30,True,7,10,283.388953211013,7,8
fixed_pso,40,15,10,52,30,True,3,10,120.18952396297126,7,8
fixed_pso,41,15,10,52,30,True,3,10,122.47294346935195,9,6
fixed_pso,42,15,10,52,30,True,5,10,200.53659117898263,9,6
fixed_pso,43,15,10,52,30,True,3,10,120.82076015989753,6,9
fixed_pso,44,15,10,52,30,True,6,10,229.826979646522,8,7
fixed_pso,45,15,10,52,30,True,9,10,371.1933272085957,9,6
fixed_pso,46,15,10,52,30,True,6,10,235.63308389534382,7,8
fixed_pso,47,15,10,52,30,True,7,10,283.3930713099349,7,8
fixed_pso,48,15,10,52,30,True,8,10,326.8648957302326,8,7
fixed_pso,49,15,10,52,30,True,6,10,240.87393850226363,7,8
