algorithm,seed,num_agents,num_tasks,grid_width,grid_height,success,iterations,tasks_completed,total_distance,productive_agents,unproductive_agents
greedy,0,15,10,52,30,True,7,10,290.1008962123574,5,10
greedy,1,15,10,52,30,True,4,10,166.98389134594825,7,8
greedy,2,15,10,52,30,True,5,10,203.42925492294344,7,8
greedy,3,15,10,52,30,True,4,10,165.59437461363655,8,7
greedy,4,15,10,52,30,True,8,10,329.2284905809847,9,6
greedy,5,15,10,52,30,True,4,10,163.11419736611117,9,6
greedy,6,15,10,52,30,True,6,10,244.62821163003895,7,8
greedy,7,15,10,52,30,True,6,10,248.4199202384807,7,8
greedy,8,15,10,52,30,True,8,10,332.85697054340966,8,7
greedy,9,15,10,52,30,True,5,10,204.26654629258834,7,8
greedy,10,15,10,52,30,True,8,10,334.3857838315289,6,9
greedy,11,15,10,52,30,True,7,10,288.447176109879,8,7
greedy,12,15,10,52,30,True,4,10,165.9806716034383,7,8
greedy,13,15,10,52,30,True,8,10,324.62849534455285,7,8
greedy,14,15,10,52,30,True,4,10,162.41919907343225,8,7
greedy,15,15,10,52,30,True,13,10,535.7784751114075,8,7
greedy,16,15,10,52,30,True,4,10,161.17003487179377,7,8
greedy,17,15,10,52,30,True,3,10,125.08268165365965,7,8
greedy,18,15,10,52,30,True,9,10,376.754949577717,7,8
greedy,19,15,10,52,30,True,6,10,247.62964763596779,5,10
greedy,20,15,10,52,30,True,9,10,373.7810619471097,7,8
greedy,21,15,10,52,30,True,5,10,202.54428071400145,7,8
greedy,22,15,10,52,30,True,5,10,204.44015033711247,7,8
greedy,23,15,10,52,30,True,11,10,455.73217483134533,6,9
greedy,24,15,10,52,30,True,7,10,289.51317017214615,6,9
greedy,25,15,10,52,30,True,8,10,329.64860160412974,7,8
greedy,26,15,10,52,30,True,4,10,163.70645336885775,8,7
greedy,27,15,10,52,30,True,4,10,163.54138331092338,9,6
greedy,28,15,10,52,30,True,5,10,202.14285398453111,8,7
greedy,29,15,10,52,30,True,6,10,250.1930329409168,8,7
greedy,30,15,10,52,30,True,4,10,165.51291751016336,7,8
greedy,31,15,10,52,30,True,5,10,203.05887121420656,6,9
greedy,32,15,10,52,30,True,6,10,246.771036494346,8,7
greedy,33,15,10,52,30,True,6,10,247.43525897859854,6,9
greedy,34,15,10,52,30,True,4,10,163.02831644710054,9,6
greedy,35,15,10,52,30,True,5,10,202.936414474491,9,6
greedy,36,15,10,52,30,True,8,10,326.9375029987332,8,7
greedy,37,15,10,52,30,True,4,10,162.99971551528287,7,8
greedy,38,15,10,52,30,True,4,10,162.0877188063079,8,7
greedy,39,15,10,52,30,True,6,10,244.88835301647785,8,7
greedy,40,15,10,52,30,True,3,10,121.70046336797012,7,8
greedy,41,15,10,52,30,True,3,10,123.81959264862039,8,7
greedy,42,15,10,52,30,True,4,10,163.0411149681681,8,7
greedy,43,15,10,52,30,True,3,10,122.75361834618666,7,8
greedy,44,15,10,52,30,True,4,10,159.09710491660624,8,7
greedy,45,15,10,52,30,True,8,10,333.6009558893948,9,6
greedy,46,15,10,52,30,True,4,10,161.48537008992628,6,9
greedy,47,15,10,52,30,True,5,10,204.7680839376901,7,8
greedy,48,15,10,52,30,True,8,10,333.78078815960646,7,8
greedy,49,15,10,52,30,True,5,10,206.83695830275357,8,7
