seed,algorithm,num_agents,num_tasks,obstacle_density,success,iterations,total_distance,productive_agents,blocked_moves,redundant_target_ratio,runtime_seconds
0,manhattan_greedy,15,20,0.2,1,39,561.0,11,24,0.717948717948718,0.2886427429984906
0,path_cost_greedy,15,20,0.2,1,32,467.0,12,13,0.6979166666666666,6.438673037999251
0,hungarian_astar,15,20,0.2,1,28,221.0,14,0,0.0,6.451188835999346
1,manhattan_greedy,15,20,0.2,1,37,541.0,10,14,0.7585585585585586,0.37003963600000134
1,path_cost_greedy,15,20,0.2,1,34,492.0,11,18,0.7215686274509804,5.894506491000357
1,hungarian_astar,15,20,0.2,1,20,195.0,12,1,0.0,5.180085981999582
2,manhattan_greedy,15,20,0.2,1,43,620.0,9,25,0.7395348837209302,0.2601061879977351
2,path_cost_greedy,15,20,0.2,1,41,593.0,9,22,0.7479674796747967,5.305989612999838
2,hungarian_astar,15,20,0.2,1,27,207.0,13,2,0.0,5.043964589996904
3,manhattan_greedy,15,20,0.2,1,30,429.0,12,21,0.7511111111111111,0.1989463030040497
3,path_cost_greedy,15,20,0.2,1,30,423.0,12,27,0.7466666666666667,3.2223516470039613
3,hungarian_astar,15,20,0.2,1,21,163.0,12,0,0.0,2.46347156399861
4,manhattan_greedy,15,20,0.2,1,40,563.0,9,37,0.755,0.23099220200674608
4,path_cost_greedy,15,20,0.2,1,42,597.0,9,33,0.7682539682539683,4.311915997001051
4,hungarian_astar,15,20,0.2,1,27,241.0,13,2,0.0,4.021478830996784
5,manhattan_greedy,15,20,0.2,1,40,577.0,9,23,0.705,0.5144212550003431
5,path_cost_greedy,15,20,0.2,1,40,583.0,9,17,0.7183333333333334,10.016777693999757
5,hungarian_astar,15,20,0.2,1,29,238.0,12,0,0.0,6.634126233999268
6,manhattan_greedy,15,20,0.2,1,36,517.0,12,23,0.7129629629629629,0.23021953600255074
6,path_cost_greedy,15,20,0.2,1,40,577.0,12,23,0.7366666666666667,5.388617580996652
6,hungarian_astar,15,20,0.2,1,29,233.0,13,1,0.0,4.116402428000583
7,manhattan_greedy,15,20,0.2,1,23,338.0,11,7,0.6173913043478261,0.19454252600553446
7,path_cost_greedy,15,20,0.2,1,23,336.0,11,9,0.6173913043478261,4.425457308003388
7,hungarian_astar,15,20,0.2,1,23,158.0,12,1,0.0,3.0851932790028513
8,manhattan_greedy,15,20,0.2,1,47,672.0,9,33,0.7716312056737589,0.4400613510006224
8,path_cost_greedy,15,20,0.2,1,47,672.0,9,33,0.774468085106383,6.178097964999324
8,hungarian_astar,15,20,0.2,1,23,179.0,13,0,0.0,5.8401436080021085
9,manhattan_greedy,15,20,0.2,1,35,505.0,10,20,0.7161904761904762,0.24840507499902742
9,path_cost_greedy,15,20,0.2,1,23,340.0,11,5,0.591304347826087,6.2147374150008545
9,hungarian_astar,15,20,0.2,1,22,169.0,11,1,0.0,4.16777416900004
10,manhattan_greedy,15,20,0.2,1,45,643.0,8,32,0.7866666666666666,0.25990949900005944
10,path_cost_greedy,15,20,0.2,1,45,640.0,8,35,0.7896296296296297,5.336553601002379
10,hungarian_astar,15,20,0.2,1,27,259.0,11,1,0.0,3.465630473998317
11,manhattan_greedy,15,20,0.2,1,50,717.0,12,33,0.764,0.796295050997287
11,path_cost_greedy,15,20,0.2,1,31,452.0,11,13,0.6731182795698925,6.889366356001119
11,hungarian_astar,15,20,0.2,1,27,190.0,12,0,0.0,4.471204403002048
12,manhattan_greedy,15,20,0.2,1,31,430.0,9,35,0.6688172043010753,0.13837896400218597
12,path_cost_greedy,15,20,0.2,1,34,468.0,8,42,0.7274509803921568,4.166027712999494
12,hungarian_astar,15,20,0.2,1,20,212.0,13,0,0.0,3.278640737000387
13,manhattan_greedy,15,20,0.2,1,37,533.0,12,22,0.7441441441441441,0.22611565499391872
