algorithm,seed,obstacle_density,success,iterations,completed_tasks,total_distance,productive_agents,blocked_moves,unreachable_plans,redundant_target_events,redundant_target_ratio
manhattan_greedy,0,0.0,True,34,20,497.0,10,13,0,376,0.7372549019607844
manhattan_greedy,1,0.0,True,35,20,497.0,10,28,0,387,0.7371428571428571
manhattan_greedy,2,0.0,True,28,20,414.0,11,6,0,298,0.7095238095238096
manhattan_greedy,3,0.0,True,25,20,369.0,10,6,0,265,0.7066666666666667
manhattan_greedy,4,0.0,True,33,20,478.0,11,17,0,377,0.7616161616161616
manhattan_greedy,5,0.0,True,31,20,455.0,9,10,0,352,0.7569892473118279
manhattan_greedy,6,0.0,True,34,20,503.0,12,7,0,362,0.7098039215686275
manhattan_greedy,7,0.0,True,22,20,326.0,12,4,0,222,0.6727272727272727
manhattan_greedy,8,0.0,True,31,20,450.0,11,15,0,310,0.6666666666666666
manhattan_greedy,9,0.0,True,21,20,301.0,14,14,0,177,0.5619047619047619
manhattan_greedy,10,0.0,True,43,20,639.0,10,6,0,498,0.772093023255814
manhattan_greedy,11,0.0,True,28,20,398.0,13,22,0,287,0.6833333333333333
manhattan_greedy,12,0.0,True,15,20,223.0,11,2,0,108,0.48
manhattan_greedy,13,0.0,True,27,20,397.0,10,8,0,290,0.7160493827160493
manhattan_greedy,14,0.0,True,31,20,460.0,11,5,0,319,0.6860215053763441
manhattan_greedy,15,0.0,True,35,20,491.0,11,34,0,383,0.7295238095238096
manhattan_greedy,16,0.0,True,26,20,386.0,12,4,0,271,0.6948717948717948
manhattan_greedy,17,0.0,True,40,20,590.0,9,10,0,465,0.775
manhattan_greedy,18,0.0,True,18,20,261.0,14,9,0,152,0.562962962962963
manhattan_greedy,19,0.0,True,32,20,426.0,9,54,0,362,0.7541666666666667
manhattan_greedy,20,0.0,True,25,20,373.0,11,2,0,236,0.6293333333333333
manhattan_greedy,21,0.0,True,23,20,338.0,12,7,0,228,0.6608695652173913
manhattan_greedy,22,0.0,True,18,20,267.0,11,3,0,164,0.6074074074074074
manhattan_greedy,23,0.0,True,41,20,560.0,13,55,0,491,0.7983739837398374
manhattan_greedy,24,0.0,True,30,20,444.0,10,6,0,339,0.7533333333333333
manhattan_greedy,25,0.0,True,30,20,429.0,11,21,0,315,0.7
manhattan_greedy,26,0.0,True,39,20,572.0,9,13,0,458,0.7829059829059829
manhattan_greedy,27,0.0,True,25,20,362.0,12,13,0,261,0.696
manhattan_greedy,28,0.0,True,41,20,579.0,11,36,0,498,0.8097560975609757
manhattan_greedy,29,0.0,True,29,20,424.0,13,11,0,298,0.6850574712643678
path_cost_greedy,0,0.0,True,34,20,497.0,10,13,0,376,0.7372549019607844
path_cost_greedy,1,0.0,True,35,20,497.0,10,28,0,387,0.7371428571428571
path_cost_greedy,2,0.0,True,28,20,414.0,11,6,0,298,0.7095238095238096
path_cost_greedy,3,0.0,True,25,20,369.0,10,6,0,265,0.7066666666666667
path_cost_greedy,4,0.0,True,33,20,478.0,11,17,0,377,0.7616161616161616
path_cost_greedy,5,0.0,True,31,20,455.0,9,10,0,352,0.7569892473118279
path_cost_greedy,6,0.0,True,34,20,503.0,12,7,0,362,0.7098039215686275
path_cost_greedy,7,0.0,True,22,20,326.0,12,4,0,222,0.6727272727272727
path_cost_greedy,8,0.0,True,31,20,450.0,11,15,0,310,0.6666666666666666
path_cost_greedy,9,0.0,True,21,20,301.0,14,14,0,177,0.5619047619047619
path_cost_greedy,10,0.0,True,43,20,639.0,10,6,0,498,0.772093023255814
path_cost_greedy,11,0.0,True,28,20,398.0,13,22,0,287,0.6833333333333333
path_cost_greedy,12,0.0,True,15,20,223.0,11,2,0,108,0.48
path_cost_greedy,13,0.0,True,27,20,397.0,10,8,0,290,0.7160493827160493
path_cost_greedy,14,0.0,True,31,20,460.0,11,5,0,319,0.6860215053763441
path_cost_greedy,15,0.0,True,35,20,491.0,11,34,0,383,0.7295238095238096
path_cost_greedy,16,0.0,True,26,20,386.0,12,4,0,271,0.6948717948717948
path_cost_greedy,17,0.0,True,40,20,590.0,9,10,0,465,0.775
path_cost_greedy,18,0.0,True,18,20,261.0,14,9,0,152,0.562962962962963
path_cost_greedy,19,0.0,True,32,20,426.0,9,54,0,362,0.7541666666666667
path_cost_greedy,20,0.0,True,25,20,373.0,11,2,0,236,0.6293333333333333
path_cost_greedy,21,0.0,True,23,20,338.0,12,7,0,228,0.6608695652173913
path_cost_greedy,22,0.0,True,18,20,267.0,11,3,0,164,0.6074074074074074
path_cost_greedy,23,0.0,True,41,20,560.0,13,55,0,491,0.7983739837398374
path_cost_greedy,24,0.0,True,30,20,444.0,10,6,0,339,0.7533333333333333
path_cost_greedy,25,0.0,True,30,20,429.0,11,21,0,315,0.7
path_cost_greedy,26,0.0,True,39,20,572.0,9,13,0,458,0.7829059829059829
path_cost_greedy,27,0.0,True,25,20,362.0,12,13,0,261,0.696
path_cost_greedy,28,0.0,True,41,20,579.0,11,36,0,498,0.8097560975609757
path_cost_greedy,29,0.0,True,29,20,424.0,13,11,0,298,0.6850574712643678
manhattan_greedy,0,0.05,True,24,20,355.0,11,5,0,237,0.6583333333333333
manhattan_greedy,1,0.05,True,19,20,275.0,11,10,0,167,0.5859649122807018
manhattan_greedy,2,0.05,True,27,20,387.0,11,18,0,273,0.674074074074074
manhattan_greedy,3,0.05,True,21,20,307.0,12,8,0,203,0.6444444444444445
manhattan_greedy,4,0.05,True,21,20,299.0,9,16,0,190,0.6031746031746031
manhattan_greedy,5,0.05,True,25,20,363.0,10,12,0,253,0.6746666666666666
manhattan_greedy,6,0.05,True,25,20,367.0,13,8,0,251,0.6693333333333333
manhattan_greedy,7,0.05,True,22,20,324.0,11,6,0,218,0.6606060606060606
manhattan_greedy,8,0.05,True,39,20,576.0,10,9,0,428,0.7316239316239316
manhattan_greedy,9,0.05,True,59,20,847.0,10,38,0,740,0.8361581920903954
manhattan_greedy,10,0.05,True,27,20,396.0,9,9,0,276,0.6814814814814815
manhattan_greedy,11,0.05,True,16,20,235.0,10,5,0,135,0.5625
