algorithm,num_agents,num_tasks,seed,success,iterations,total_distance,tasks_completed,productive_agents,unproductive_agents
greedy,5,10,0,True,7,93.93250883746306,10,4,1
greedy,5,10,1,True,11,144.78709595682872,10,5,0
greedy,5,10,2,True,16,217.24375366153404,10,5,0
greedy,5,10,3,True,12,164.58696548285002,10,5,0
greedy,5,10,4,True,14,192.46676938895254,10,3,2
greedy,5,10,5,True,10,132.4947454867892,10,4,1
greedy,5,10,6,True,18,249.19268932402946,10,4,1
greedy,5,10,7,True,25,345.4551430140138,10,5,0
greedy,5,10,8,True,12,166.27878484079184,10,3,2
greedy,5,10,9,True,14,189.39225213206933,10,4,1
greedy,5,10,10,True,8,109.8835672336439,10,4,1
greedy,5,10,11,True,17,231.224913627325,10,4,1
greedy,5,10,12,True,9,118.72739570907058,10,4,1
greedy,5,10,13,True,12,164.58706345065175,10,4,1
greedy,5,10,14,True,19,259.37652316998253,10,3,2
greedy,5,10,15,True,13,178.48271828550452,10,3,2
greedy,5,10,16,True,9,121.6520512935366,10,5,0
greedy,5,10,17,True,32,442.9288889336144,10,4,1
greedy,5,10,18,True,15,204.07748582106603,10,3,2
greedy,5,10,19,True,8,108.45241181359488,10,4,1
greedy,5,10,20,True,15,205.43358518200642,10,4,1
greedy,5,10,21,True,13,177.49034015136374,10,4,1
greedy,5,10,22,True,12,160.64193676581246,10,5,0
greedy,5,10,23,True,6,81.88702494726354,10,5,0
greedy,5,10,24,True,17,232.5751715034043,10,4,1
greedy,5,10,25,True,13,178.75756010221644,10,4,1
greedy,5,10,26,True,23,318.8836865051751,10,4,1
greedy,5,10,27,True,21,284.6167150277424,10,4,1
greedy,5,10,28,True,9,121.49233850520137,10,5,0
greedy,5,10,29,True,23,315.4867933244183,10,5,0
fixed_pso,5,10,0,True,10,134.33652087697433,10,4,1
fixed_pso,5,10,1,True,13,168.86060571964384,10,5,0
fixed_pso,5,10,2,True,19,258.46792621744424,10,5,0
fixed_pso,5,10,3,True,13,180.9667671929484,10,5,0
fixed_pso,5,10,4,True,14,192.10102795820086,10,4,1
fixed_pso,5,10,5,True,13,172.47638553537908,10,5,0
fixed_pso,5,10,6,True,23,316.63365351820624,10,4,1
fixed_pso,5,10,7,True,28,385.02476171477787,10,5,0
fixed_pso,5,10,8,True,13,173.31699308349337,10,3,2
fixed_pso,5,10,9,True,12,165.33066993351665,10,4,1
fixed_pso,5,10,10,True,12,160.08131480438163,10,4,1
fixed_pso,5,10,11,True,18,239.0326475657222,10,4,1
fixed_pso,5,10,12,True,9,116.80725376562151,10,4,1
fixed_pso,5,10,13,True,13,177.22356818007214,10,4,1
fixed_pso,5,10,14,True,20,267.5260542303275,10,4,1
fixed_pso,5,10,15,True,14,186.25010742992842,10,3,2
fixed_pso,5,10,16,True,12,162.8719284641838,10,5,0
fixed_pso,5,10,17,True,35,479.92136009587676,10,4,1
fixed_pso,5,10,18,True,18,240.9598113201062,10,3,2
fixed_pso,5,10,19,True,16,210.39825605478507,10,4,1
fixed_pso,5,10,20,True,15,208.27817058857428,10,4,1
fixed_pso,5,10,21,True,13,170.5931412959385,10,5,0
fixed_pso,5,10,22,True,12,152.33054875457023,10,5,0
fixed_pso,5,10,23,True,9,114.83083279894544,10,4,1
fixed_pso,5,10,24,True,18,247.84310137530258,10,5,0
fixed_pso,5,10,25,True,13,175.03634603098826,10,4,1
fixed_pso,5,10,26,True,27,367.6485157655693,10,4,1
fixed_pso,5,10,27,True,20,271.6942975588655,10,5,0
fixed_pso,5,10,28,True,10,133.08045005148008,10,5,0
fixed_pso,5,10,29,True,24,327.3586630023737,10,5,0
dynamic_pso,5,10,0,True,10,132.18026507769144,10,4,1
dynamic_pso,5,10,1,True,13,171.08977474254795,10,5,0
dynamic_pso,5,10,2,True,18,240.58301266633117,10,5,0
dynamic_pso,5,10,3,True,13,179.15657913764454,10,5,0
dynamic_pso,5,10,4,True,14,191.11434488596694,10,5,0
dynamic_pso,5,10,5,True,13,171.0087912799466,10,5,0
dynamic_pso,5,10,6,True,22,300.99974554819187,10,4,1
dynamic_pso,5,10,7,True,28,381.9544754899424,10,5,0
dynamic_pso,5,10,8,True,13,172.053020729494,10,3,2
dynamic_pso,5,10,9,True,12,165.17942802025993,10,4,1
dynamic_pso,5,10,10,True,12,158.41332902952647,10,4,1
dynamic_pso,5,10,11,True,18,237.086600563573,10,4,1
dynamic_pso,5,10,12,True,9,115.79448867898031,10,4,1
dynamic_pso,5,10,13,True,14,187.32595615432416,10,4,1
dynamic_pso,5,10,14,True,20,265.15648970299566,10,4,1
dynamic_pso,5,10,15,True,14,185.56178769324475,10,3,2
dynamic_pso,5,10,16,True,13,172.2943783528819,10,5,0
dynamic_pso,5,10,17,True,35,478.7061786773044,10,4,1
dynamic_pso,5,10,18,True,18,240.10347066660012,10,3,2
dynamic_pso,5,10,19,True,16,210.12950483355115,10,4,1
dynamic_pso,5,10,20,True,16,218.6858883743239,10,4,1
dynamic_pso,5,10,21,True,13,169.46284332683905,10,5,0
dynamic_pso,5,10,22,True,10,123.8393303671161,10,5,0
dynamic_pso,5,10,23,True,9,115.33891043364297,10,5,0
dynamic_pso,5,10,24,True,18,246.42596345824603,10,5,0
dynamic_pso,5,10,25,True,13,174.2413436699498,10,4,1
dynamic_pso,5,10,26,True,27,366.26706704551134,10,4,1
dynamic_pso,5,10,27,True,14,185.17660325045912,10,5,0
dynamic_pso,5,10,28,True,10,132.2280587794667,10,5,0
dynamic_pso,5,10,29,True,24,326.3806847420767,10,5,0
greedy,10,10,0,True,8,220.71985522412072,10,7,3
greedy,10,10,1,True,12,327.26568037689924,10,6,4
greedy,10,10,2,True,8,220.7959753863448,10,7,3
greedy,10,10,3,True,9,250.20231070176513,10,8,2
greedy,10,10,4,True,9,245.99972001583686,10,6,4
greedy,10,10,5,True,7,187.81608870288363,10,7,3
greedy,10,10,6,True,6,166.97039270549197,10,7,3
greedy,10,10,7,True,7,194.20461594783453,10,5,5
greedy,10,10,8,True,5,133.29179699492536,10,5,5
greedy,10,10,9,True,5,133.41593309942544,10,9,1
greedy,10,10,10,True,11,301.01840964417437,10,5,5
greedy,10,10,11,True,7,185.27369897551836,10,8,2
greedy,10,10,12,True,6,165.20561108727796,10,6,4
greedy,10,10,13,True,8,214.13667773493486,10,7,3
greedy,10,10,14,True,13,361.39674896656794,10,6,4
