num_agents,num_tasks,baseline,metric,baseline_mean,hungarian_mean,mean_improvement,improvement_ci95_low,improvement_ci95_high,percent_reduction,wilcoxon_W,p_value,effect_dz,hungarian_wins,ties,hungarian_losses,holm_primary_p
5,10,manhattan_greedy,iterations,54.46666666666667,40.833333333333336,13.633333333333333,7.733333333333333,20.466666666666665,25.030599755201955,4.5,7.453303968322738e-05,0.741897511077277,20,8,2,0.0002098554824341732
5,10,manhattan_greedy,total_distance,266.7,145.5,121.2,90.66666666666667,155.70249999999996,45.44431946006749,0.0,1.7333066441991056e-06,1.2928862666274612,30,0,0,3.318799688067456e-05
5,10,manhattan_greedy,runtime_seconds,0.11864262360128724,0.7332487214017116,-0.6146060978004243,-0.693970914384857,-0.540020349532133,-518.0314453141915,0.0,1.862645149230957e-09,-2.7818952720775485,0,0,30,
5,10,path_cost_greedy,iterations,51.93333333333333,40.833333333333336,11.1,6.199166666666668,16.66749999999999,21.373555840821556,9.0,0.00021299094965819516,0.74505844844531,19,9,2,0.00021299094965819516
5,10,path_cost_greedy,total_distance,254.7,145.5,109.2,82.96583333333334,137.8,42.87396937573616,0.0,1.7333066441991056e-06,1.3864142704834383,30,0,0,3.318799688067456e-05
5,10,path_cost_greedy,runtime_seconds,0.8566665178645053,0.7332487214017116,0.12341779646279367,0.062440416469980844,0.1943374985049498,14.406749171246833,68.0,0.0003800932317972183,0.6565805597000964,22,0,8,
10,10,manhattan_greedy,iterations,34.266666666666666,23.6,10.666666666666666,7.066666666666666,14.533333333333333,31.128404669260696,17.0,1.43959155067219e-05,1.0345808594723855,27,1,2,5.75836620268876e-05
10,10,manhattan_greedy,total_distance,333.06666666666666,122.9,210.16666666666666,170.0325,253.9,63.100480384307446,0.0,1.732216233144114e-06,1.7875926100566757,30,0,0,3.318799688067456e-05
10,10,manhattan_greedy,runtime_seconds,0.13357872260142659,1.148955117665173,-1.0153763950637464,-1.2545139402800243,-0.8118926138757039,-760.133332082712,0.0,1.862645149230957e-09,-1.601244763708546,0,0,30,
10,10,path_cost_greedy,iterations,32.1,23.6,8.5,5.466666666666667,11.466666666666667,26.479750778816197,28.5,6.995182747805774e-05,0.9985118596475302,24,2,4,0.0002098554824341732
10,10,path_cost_greedy,total_distance,313.3333333333333,122.9,190.43333333333334,157.46666666666667,224.06666666666666,60.77659574468085,0.0,1.7311263949197288e-06,2.0046059550579582,30,0,0,3.318799688067456e-05
10,10,path_cost_greedy,runtime_seconds,1.2340184849007831,1.148955117665173,0.0850633672356101,0.004610058588126158,0.1644795973934864,6.893200407970328,137.0,0.049710121005773544,0.37084478731949544,20,0,10,
15,20,manhattan_greedy,iterations,34.06666666666667,23.433333333333334,10.633333333333333,8.166666666666666,13.2,31.21330724070451,1.0,2.7998179191685326e-06,1.4800022046568675,28,1,1,3.318799688067456e-05
15,20,manhattan_greedy,total_distance,490.1,196.76666666666668,293.3333333333333,257.3,330.1,59.8517309392641,0.0,1.732216233144114e-06,2.798769079484369,30,0,0,3.318799688067456e-05
15,20,manhattan_greedy,runtime_seconds,0.17458964483230371,2.3384207931987477,-2.1638311483664436,-2.4492840343518885,-1.9180087448752965,-1239.381150265149,0.0,1.862645149230957e-09,-2.854167703305622,0,0,30,
15,20,path_cost_greedy,iterations,33.266666666666666,23.433333333333334,9.833333333333334,7.3,12.433333333333334,29.55911823647294,1.5,4.364840552486913e-06,1.3537248203217447,27,2,1,3.318799688067456e-05
15,20,path_cost_greedy,total_distance,478.46666666666664,196.76666666666668,281.7,246.43333333333334,317.6333333333333,58.87557475268217,0.0,1.862645149230957e-09,2.798388437967839,30,0,0,4.470348358154297e-08
15,20,path_cost_greedy,runtime_seconds,2.8228976509009955,2.3384207931987477,0.4844768577022478,0.2683991673950853,0.7289990629225334,17.162395439580155,41.0,1.8244609236717224e-05,0.7320934737651471,26,0,4,
20,20,manhattan_greedy,iterations,25.466666666666665,17.433333333333334,8.033333333333333,5.933333333333334,10.433333333333334,31.54450261780104,0.0,2.504954434957929e-06,1.2631413475997915,29,1,0,3.318799688067456e-05
20,20,manhattan_greedy,total_distance,491.5,161.4,330.1,288.56666666666666,378.7,67.1617497456765,0.0,1.7333066441991056e-06,2.580675606996243,30,0,0,3.318799688067456e-05
20,20,manhattan_greedy,runtime_seconds,0.19416856976652824,2.239695935199173,-2.045527365432645,-2.256349603561927,-1.845484984519608,-1053.4801630831516,0.0,1.862645149230957e-09,-3.4788954939097474,0,0,30,
20,20,path_cost_greedy,iterations,24.5,17.433333333333334,7.066666666666666,5.0,9.5,28.843537414965986,0.0,3.5679300894941183e-06,1.1060180353107072,28,2,0,3.318799688067456e-05
20,20,path_cost_greedy,total_distance,471.76666666666665,161.4,310.3666666666667,272.0991666666667,355.1,65.78817211898537,0.0,1.862645149230957e-09,2.6081868666096892,30,0,0,4.470348358154297e-08
20,20,path_cost_greedy,runtime_seconds,2.54601716016817,2.239695935199173,0.30632122496899683,0.16067238177583926,0.475833058413009,12.031388859482929,61.0,0.00018860027194023132,0.6844715560945663,26,0,4,
20,30,manhattan_greedy,iterations,30.6,20.7,9.9,7.466666666666667,12.433333333333334,32.352941176470594,1.5,1.987590098471659e-06,1.3939800643379572,29,0,1,3.318799688067456e-05
20,30,manhattan_greedy,total_distance,586.1,242.2,343.9,297.4,392.6333333333333,58.67599385770347,0.0,1.7333066441991056e-06,2.52950494480861,30,0,0,3.318799688067456e-05
20,30,manhattan_greedy,runtime_seconds,0.19239071420015533,3.696531005766398,-3.5041402915662427,-3.891576594386315,-3.155666266649011,-1821.3666424257256,0.0,1.862645149230957e-09,-3.3227016782473857,0,0,30,
