algorithm,failure_rate,success_rate,mean_tasks_completed,mean_iterations_all,mean_distance_all
dynamic_pso,0.0,100.0,20.0,10.3,403.5651946509075
dynamic_pso,0.2,100.0,20.0,11.0,369.9764579268945
dynamic_pso,0.4,100.0,20.0,13.2,357.06010010926116
dynamic_pso,0.6,100.0,20.0,14.333333333333334,291.69385074798174
fixed_pso,0.0,100.0,20.0,10.033333333333333,398.05096916247516
fixed_pso,0.2,100.0,20.0,11.066666666666666,375.32816317194386
fixed_pso,0.4,100.0,20.0,13.3,363.4385279375231
fixed_pso,0.6,100.0,20.0,14.233333333333333,293.03406123644055
greedy,0.0,100.0,20.0,8.566666666666666,347.47469530944267
greedy,0.2,100.0,20.0,9.4,329.0139976908206
greedy,0.4,100.0,20.0,11.2,320.9635026809956
greedy,0.6,100.0,20.0,11.666666666666666,259.8712369595229
